AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.04.2021 at 22:24:34 Compatible with AeroDyn v13.0.
Polar "E780-R81712-20-20 360 M" on Foil "E780-R81712-20-20" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.09          Angle of attack for zero Cn for linear Cn curve (deg)
8.11982        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6502        Cn at stall value for positive angle of attack for linear Cn curve
-0.5797        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0184         Minimum CD value
    155.00   -0.9520    0.3198
    156.00   -0.9254    0.2965
    157.00   -0.8981    0.2740
    158.00   -0.8704    0.2522
    159.00   -0.8423    0.2312
    160.00   -0.8142    0.2110
    161.00   -0.7862    0.1917
    162.00   -0.7588    0.1732
    163.00   -0.7323    0.1556
    164.00   -0.7075    0.1389
    165.00   -0.6853    0.1231
    166.00   -0.6668    0.1083
    167.00   -0.6539    0.0944
    168.00   -0.6486    0.0814
    169.00   -0.6539    0.0695
    170.00   -0.6718    0.0586
    171.00   -0.7015    0.0486
    172.00   -0.7338    0.0397
    173.00   -0.7484    0.0319
    174.00   -0.7229    0.0250
    175.00   -0.6522    0.0192
    176.00   -0.5514    0.0145
    177.00   -0.4385    0.0108
    178.00   -0.3234    0.0081
    179.00   -0.2082    0.0065
    180.00   -0.0930    0.0060
    180.00   -0.0930    0.0060
